mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.022135417,-0.100260417,1,0,0,0.80078125,0.44921875,1,0,0,calibration_square,0,0,0,18,1,0.45,0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.80078125,0.15625,1,0,0,calibration_square,0,1,1,8,1,-0.45,0.15,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.799479167,-0.14453125,1,0,0,calibration_square,0,2,2,7,1,0.45,-0.15,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.263020833,0.450520833,1,0,0,calibration_square,0,3,3,14,1,0.15,0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.802083333,-0.446614583,1,0,0,calibration_square,0,4,4,17,1,0.45,-0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.798177083,0.45703125,1,0,0,calibration_square,0,5,5,12,1,-0.45,0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.79296875,-0.145833333,1,0,0,calibration_square,0,6,6,4,1,-0.45,-0.15,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.807291667,0.44921875,1,0,0,calibration_square,0,7,7,19,1,-0.45,0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.80078125,-0.450520833,1,0,0,calibration_square,0,8,8,3,1,0.45,-0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.270833333,-0.450520833,1,0,0,calibration_square,0,9,9,2,1,0.15,-0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.2578125,0.15625,1,0,0,calibration_square,0,10,10,10,1,0.15,0.15,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.80078125,0.140625,1,0,0,calibration_square,0,11,11,11,1,0.45,0.15,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.26953125,-0.44921875,1,0,0,calibration_square,0,12,12,1,1,-0.15,-0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.260416667,-0.151041667,1,0,0,calibration_square,0,13,13,6,1,0.15,-0.15,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.274739583,-0.147135417,1,0,0,calibration_square,0,14,14,5,1,-0.15,-0.15,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.268229167,0.459635417,1,0,0,calibration_square,0,15,15,13,1,-0.15,0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.263020833,0.149739583,1,0,0,calibration_square,0,16,16,9,1,-0.15,0.15,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.803385417,-0.447916667,1,0,0,calibration_square,0,17,17,0,1,-0.45,-0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.80078125,0.451822917,1,0,0,calibration_square,0,18,18,15,1,0.45,0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.791666667,-0.4453125,1,0,0,calibration_square,0,19,19,16,1,-0.45,-0.45,Cris,001,2021-04-07_21h04.45.173,demo_eye_tracking2,2020.2.5,Win32,60
